scrutin_ref,senateur_ref,position
senat-2020-2,98022P,pour
senat-2020-2,11064N,pour
senat-2020-2,19691J,pour
senat-2020-2,19553Y,pour
senat-2020-2,20072C,pour
senat-2020-2,19569H,pour
senat-2020-2,14179A,pour
senat-2020-2,20048C,pour
senat-2020-2,08069G,pour
senat-2020-2,19399H,pour
senat-2020-2,11048N,pour
senat-2020-2,14213J,pour
senat-2020-2,20066E,pour
senat-2020-2,20034V,pour
senat-2020-2,19511N,pour
senat-2020-2,20056C,pour
senat-2020-2,19447X,pour
senat-2020-2,95041E,pour
senat-2020-2,14073Q,pour
senat-2020-2,20126Y,pour
senat-2020-2,19735D,pour
senat-2020-2,19611R,pour
senat-2020-2,19583F,pour
senat-2020-2,07029T,pour
senat-2020-2,19723Y,pour
senat-2020-2,19699S,pour
senat-2020-2,08015R,pour
senat-2020-2,19711U,pour
senat-2020-2,08010L,pour
senat-2020-2,08034U,pour
senat-2020-2,19709B,pour
senat-2020-2,16685X,pour
senat-2020-2,19289C,pour
senat-2020-2,19729F,pour
senat-2020-2,20108W,pour
senat-2020-2,01043Q,pour
senat-2020-2,20052X,pour
senat-2020-2,19581D,pour
senat-2020-2,14205J,pour
